original_filename,page,sr_no,current_gp_name,old_gp_villages,new_or_reconstituted_gp_name,new_gp_villages
GP_Delimitation_2019_Final-1-400.pdf,0,,"राजस्थान राजपत्र
विशेषांक",Extraordinary,,
GP_Delimitation_2019_Final-1-400.pdf,0,,"राजस्थान राजपत्र
विशेषांक",RAJASTHAN GAZETTE,,
GP_Delimitation_2019_Final-1-400.pdf,0,,साअधिकार प्रकाशित,Published by Authority,,
GP_Delimitation_2019_Final-1-400.pdf,0,सत्यमेव जयते,"कार्तिक 25 , शनिवार
Kartika 25 Saturday",", शाके 1941 नवम्बर 16 , 2019",,
GP_Delimitation_2019_Final-1-400.pdf,0,सत्यमेव जयते,"कार्तिक 25 , शनिवार
Kartika 25 Saturday",", Saka 1941 - November 16 , 2019",,
GP_Delimitation_2019_Final-1-400.pdf,1,,,| सम्मिलित ग्रामों का नाम,,"पुनर्गठित / पुनर्सीमांकित /
| 
ग्रामों का नाम"
GP_Delimitation_2019_Final-1-400.pdf,1,,,,,"पुनर्गठित / पुनर्सीमांकित /
| 
ग्रामों का नाम"
GP_Delimitation_2019_Final-1-400.pdf,1,1,2,3,4,5
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,मालपुरा,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,बायला,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,मान्डेडा,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,भवानीखेडा,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,रामपुरा गुंदो का,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,1 .,मालपुरा,बाला,मालपुरा,"1. मालपुरा
2. रामपुरा गुंदो का
बाला
3. बायला
4. मान्डेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,2 .,मेडिया,मेडिया,मेडिया,"1. मेडिया 
2. शोभापुरा 
3. रामपुरा मेवातिया 
4. सम्भुपुरा 
5. मकरेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,2 .,मेडिया,छापरो का बाडिया,मेडिया,"1. मेडिया 
2. शोभापुरा 
3. रामपुरा मेवातिया 
4. सम्भुपुरा 
5. मकरेडा"
