,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
113,GP_Delimitation_2019_Final-1-400.pdf,15,1 .,बुहारू,"1. बुहारू
2. रामपुरा",बुहारू,"1. बुहारू
2. रामपुरा
3. काकनियावास",,,,,
114,GP_Delimitation_2019_Final-1-400.pdf,15,2 .,नलू,"1. नलू
2. मुण्डोती
3. नोहरिया
4. काकनियावास",नलू,"1. नलू
2. मुण्डोती
3. नोहरिया",,,,,
115,GP_Delimitation_2019_Final-1-400.pdf,15,3 .,नौसल,"1. नौसल
2. भिलावट",नौसल,"1. नौसल
2. झाग",,,,,
116,GP_Delimitation_2019_Final-1-400.pdf,15,4 .,,,भिलावट,"1. भिलावट
2. गुढ़ा
3. करडाला",,,,,
117,GP_Delimitation_2019_Final-1-400.pdf,15,5 .,सिनोदिया,"1. सिनोदिया
2. शिवनगर
3. बकरवालिया
4. आऊ
5. गुढ़ा",सिनोदिया,"1. सिनोदिया
2. शिवनगर
3. बकरवालिया
4. आऊ",,,,,
118,GP_Delimitation_2019_Final-1-400.pdf,15,3,,,सराना,"1. जाटली
2. सराना
3. दांता",,,,,
119,GP_Delimitation_2019_Final-1-400.pdf,15,4,कानाखेडी,"1. कानाखेडी
2. कालेडी
3. मानपुरा
4. रामपुरा
अहिरान
5. जिलावडा",कानाखेडी,"1. कानाखेडी
2. कालेडी
3. मानपुरा
4. रामपुरा
अहिरान",,,,,
120,GP_Delimitation_2019_Final-1-400.pdf,15,5 LO,,,जिलावड़ा,1. जिलावड़ा,,,,,
121,GP_Delimitation_2019_Final-1-400.pdf,16,,,6. झाग,,,,,,,
122,GP_Delimitation_2019_Final-1-400.pdf,16,6 .,कोटडी,"1. कोटडी
2. करडाला
3. जाखोलाई
4. उजोली
5. किशनपुरा",कोटडी,"1. कोटडी
2. जाखोलाई
3. उजोली
4. किशनपुरा",,,,,
123,GP_Delimitation_2019_Final-1-400.pdf,16,7 .,पींगलोद,"1. पींगलोद
2. चक पींगलोद
3. तित्यारी
4. पालडी पठानान
5. रोडावास
6. मोतीपुरा
7. सागरमाला
8. चक मोतीपुरा",पींगलोद,"1. पींगलोद
2. चक पींगलोद
3. तित्यारी",,,,,
124,GP_Delimitation_2019_Final-1-400.pdf,16,8 .,,,मोतीपुरा,"1. मोतीपुरा
2. रोडावास
3. चक मोतीपुरा
4. सागरमाला
5. पालडी पठानान",,,,,
125,GP_Delimitation_2019_Final-1-400.pdf,16,,,पंचायत,समिति- भिनाय,,,,,,
126,GP_Delimitation_2019_Final-1-400.pdf,16,क्र.सं.,"वर्तमान
ग्रा ० प ० का
नाम","सम्मिलित ग्रामों का
नाम
वर्तमान ग्रा ० प ० में","पुनर्गठित /
पुनर्सीमांकित / नवसृजित
ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा 0 प 0 में
ग्रामों का नाम",,,,,
127,GP_Delimitation_2019_Final-1-400.pdf,16,1,2,3,4,5,,,,,
128,GP_Delimitation_2019_Final-1-400.pdf,16,1 .,कराटी,"1. कराटी
2. प्रतापपुरा
3. गोवलिया
4. खेडी
5. गोपालपुरा",कराटी,"1. कराटी
2. प्रतापपुरा
3. गोवलिया
4. खेडी
5. गोपालपुरा
6. गोरधनपुरा
7. दौलतपुरा",,,,,
129,GP_Delimitation_2019_Final-1-400.pdf,16,2 .,छछ्रन्दरा,"1. छछ्रन्दरा
2. सेदरिया
3. दौलतपुरा
4. सरगाव
5. गोरधनपुरा",छछ्रन्दरा,"छछ्रन्दरा 1 .
2. सेदरिया
3. सरगाव
4. जोरावरपुरा
5. रतनपुरा",,,,,
130,GP_Delimitation_2019_Final-1-400.pdf,17,,,"6. जोरावरपुरा
7. रतनपुरा",,,,,,,
